date,0,1,2,3,4
2018-12-05 14:00:00,2.0,1.0,,2.0,
2018-12-05 15:00:00,3.0,6.0,,2.0,3.0
2018-12-05 16:00:00,1.0,15.0,2.0,15.0,4.0
2018-12-05 17:00:00,4.0,2.0,,4.0,3.0
2018-12-05 18:00:00,4.0,10.0,2.0,9.0,7.0
2018-12-05 19:00:00,16.0,19.0,1.0,5.0,5.0
2018-12-05 20:00:00,10.0,22.0,,5.0,7.0
2018-12-05 21:00:00,6.0,15.0,,6.0,5.0
2018-12-05 22:00:00,3.0,13.0,3.0,4.0,8.0
2018-12-05 23:00:00,3.0,14.0,3.0,2.0,5.0
2018-12-06 00:00:00,3.0,35.0,2.0,3.0,4.0
2018-12-06 01:00:00,7.0,32.0,8.0,14.0,3.0
2018-12-06 02:00:00,15.0,31.0,6.0,7.0,2.0
2018-12-06 03:00:00,103.0,27.0,2.0,3.0,7.0
2018-12-06 10:00:00,29.0,12.0,,,5.0
2018-12-06 11:00:00,82.0,36.0,3.0,5.0,9.0
2018-12-06 12:00:00,80.0,28.0,4.0,4.0,8.0
2018-12-06 13:00:00,62.0,28.0,5.0,7.0,4.0
2018-12-06 14:00:00,45.0,34.0,4.0,7.0,20.0
2018-12-06 15:00:00,44.0,14.0,1.0,9.0,22.0
2018-12-06 16:00:00,32.0,22.0,1.0,4.0,73.0
2018-12-06 17:00:00,29.0,16.0,4.0,3.0,126.0
2018-12-06 18:00:00,20.0,23.0,5.0,6.0,83.0
2018-12-06 19:00:00,22.0,15.0,2.0,5.0,48.0
2018-12-06 20:00:00,26.0,11.0,4.0,,43.0
2018-12-06 21:00:00,17.0,13.0,8.0,6.0,34.0
2018-12-06 22:00:00,19.0,10.0,14.0,4.0,29.0
2018-12-06 23:00:00,16.0,7.0,6.0,3.0,60.0
2018-12-07 16:00:00,,7.0,2.0,,10.0
2018-12-07 17:00:00,4.0,8.0,2.0,3.0,14.0
2018-12-07 18:00:00,7.0,6.0,9.0,10.0,13.0
2018-12-07 19:00:00,10.0,7.0,13.0,32.0,11.0
2018-12-07 20:00:00,2.0,10.0,2.0,28.0,10.0
2018-12-07 21:00:00,,2.0,2.0,14.0,6.0
2018-12-08 00:00:00,2.0,10.0,2.0,11.0,4.0
2018-12-08 01:00:00,2.0,11.0,5.0,40.0,5.0
2018-12-08 02:00:00,,11.0,4.0,19.0,6.0
2018-12-08 03:00:00,1.0,11.0,,8.0,2.0
2018-12-08 04:00:00,1.0,7.0,1.0,7.0,1.0
2018-12-08 05:00:00,2.0,1.0,1.0,7.0,1.0
2018-12-08 06:00:00,2.0,2.0,,1.0,3.0
2018-12-08 07:00:00,,2.0,1.0,3.0,
2018-12-08 08:00:00,,2.0,,1.0,2.0
2018-12-08 09:00:00,,,1.0,2.0,2.0
2018-12-08 10:00:00,,6.0,,3.0,7.0
2018-12-08 11:00:00,4.0,4.0,2.0,6.0,
2018-12-08 12:00:00,2.0,6.0,6.0,8.0,1.0
2018-12-08 13:00:00,4.0,7.0,1.0,11.0,2.0
2018-12-08 14:00:00,3.0,10.0,4.0,5.0,1.0
2018-12-08 15:00:00,4.0,5.0,6.0,23.0,2.0
2018-12-08 16:00:00,2.0,8.0,1.0,17.0,6.0
2018-12-08 17:00:00,17.0,10.0,6.0,19.0,5.0
2018-12-08 18:00:00,7.0,10.0,6.0,15.0,3.0
2018-12-08 19:00:00,9.0,16.0,5.0,18.0,3.0
2018-12-08 20:00:00,5.0,13.0,1.0,20.0,4.0
2018-12-08 21:00:00,9.0,27.0,3.0,16.0,3.0
2018-12-08 22:00:00,19.0,14.0,1.0,16.0,2.0
2018-12-08 23:00:00,11.0,12.0,3.0,13.0,12.0
2018-12-09 00:00:00,12.0,8.0,8.0,19.0,12.0
2018-12-09 01:00:00,8.0,12.0,1.0,14.0,14.0
2018-12-09 02:00:00,11.0,17.0,14.0,16.0,8.0
2018-12-09 03:00:00,8.0,17.0,,16.0,7.0
2018-12-09 04:00:00,13.0,7.0,14.0,9.0,13.0
2018-12-09 05:00:00,8.0,,5.0,3.0,3.0
2018-12-09 06:00:00,3.0,1.0,1.0,7.0,1.0
