date,0_mean,1_mean,2_mean,3_mean,4_mean,0_count,1_count,2_count,3_count,4_count
2018-12-05 23:00:00,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,3,3,3,3,3
2018-12-06 00:00:00,,,,,,0,0,0,0,0
2018-12-06 01:00:00,,,,,,0,0,0,0,0
2018-12-06 02:00:00,,,,,,0,0,0,0,0
2018-12-06 03:00:00,,,,,,0,0,0,0,0
2018-12-06 04:00:00,,,,,,0,0,0,0,0
2018-12-06 05:00:00,,,,,,0,0,0,0,0
2018-12-06 06:00:00,,,,,,0,0,0,0,0
2018-12-06 07:00:00,,,,,,0,0,0,0,0
2018-12-06 08:00:00,,,,,,0,0,0,0,0
2018-12-06 09:00:00,,,,,,0,0,0,0,0
2018-12-06 10:00:00,,,,,,0,0,0,0,0
2018-12-06 11:00:00,,,,,,0,0,0,0,0
2018-12-06 12:00:00,,,,,,0,0,0,0,0
2018-12-06 13:00:00,,,,,,0,0,0,0,0
2018-12-06 14:00:00,,,,,,0,0,0,0,0
2018-12-06 15:00:00,,,,,,0,0,0,0,0
2018-12-06 16:00:00,,,,,,0,0,0,0,0
2018-12-06 17:00:00,,,,,,0,0,0,0,0
2018-12-06 18:00:00,,,,,,0,0,0,0,0
2018-12-06 19:00:00,,,,,,0,0,0,0,0
2018-12-06 20:00:00,,,,,,0,0,0,0,0
2018-12-06 21:00:00,,,,,,0,0,0,0,0
2018-12-06 22:00:00,,,,,,0,0,0,0,0
2018-12-06 23:00:00,,,,,,0,0,0,0,0
2018-12-07 00:00:00,,,,,,0,0,0,0,0
2018-12-07 01:00:00,,,,,,0,0,0,0,0
2018-12-07 02:00:00,,,,,,0,0,0,0,0
2018-12-07 03:00:00,,,,,,0,0,0,0,0
2018-12-07 04:00:00,,,,,,0,0,0,0,0
2018-12-07 05:00:00,,,,,,0,0,0,0,0
2018-12-07 06:00:00,,,,,,0,0,0,0,0
2018-12-07 07:00:00,,,,,,0,0,0,0,0
2018-12-07 08:00:00,,,,,,0,0,0,0,0
2018-12-07 09:00:00,,,,,,0,0,0,0,0
2018-12-07 10:00:00,,,,,,0,0,0,0,0
2018-12-07 11:00:00,,,,,,0,0,0,0,0
2018-12-07 12:00:00,,,,,,0,0,0,0,0
2018-12-07 13:00:00,,,,,,0,0,0,0,0
2018-12-07 14:00:00,,,,,,0,0,0,0,0
2018-12-07 15:00:00,,,,,,0,0,0,0,0
2018-12-07 16:00:00,,,,,,0,0,0,0,0
2018-12-07 17:00:00,,,,,,0,0,0,0,0
2018-12-07 18:00:00,,,,,,0,0,0,0,0
2018-12-07 19:00:00,,,,,,0,0,0,0,0
2018-12-07 20:00:00,,,,,,0,0,0,0,0
2018-12-07 21:00:00,,,,,,0,0,0,0,0
2018-12-07 22:00:00,,,,,,0,0,0,0,0
2018-12-07 23:00:00,,,,,,0,0,0,0,0
2018-12-08 00:00:00,,,,,,0,0,0,0,0
2018-12-08 01:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-08 02:00:00,,,,,,0,0,0,0,0
2018-12-08 03:00:00,,,,,,0,0,0,0,0
2018-12-08 04:00:00,,,,,,0,0,0,0,0
2018-12-08 05:00:00,,,,,,0,0,0,0,0
2018-12-08 06:00:00,,,,,,0,0,0,0,0
2018-12-08 07:00:00,,,,,,0,0,0,0,0
2018-12-08 08:00:00,,,,,,0,0,0,0,0
2018-12-08 09:00:00,,,,,,0,0,0,0,0
2018-12-08 10:00:00,,,,,,0,0,0,0,0
2018-12-08 11:00:00,,,,,,0,0,0,0,0
2018-12-08 12:00:00,,,,,,0,0,0,0,0
2018-12-08 13:00:00,,,,,,0,0,0,0,0
2018-12-08 14:00:00,,,,,,0,0,0,0,0
2018-12-08 15:00:00,,,,,,0,0,0,0,0
2018-12-08 16:00:00,,,,,,0,0,0,0,0
2018-12-08 17:00:00,,,,,,0,0,0,0,0
2018-12-08 18:00:00,,,,,,0,0,0,0,0
2018-12-08 19:00:00,,,,,,0,0,0,0,0
2018-12-08 20:00:00,,,,,,0,0,0,0,0
2018-12-08 21:00:00,,,,,,0,0,0,0,0
2018-12-08 22:00:00,,,,,,0,0,0,0,0
2018-12-08 23:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-09 00:00:00,,,,,,0,0,0,0,0
2018-12-09 01:00:00,,,,,,0,0,0,0,0
2018-12-09 02:00:00,,,,,,0,0,0,0,0
2018-12-09 03:00:00,,,,,,0,0,0,0,0
2018-12-09 04:00:00,,,,,,0,0,0,0,0
2018-12-09 05:00:00,0.274977,0.0254053,0.275993,0.273005,0.150619,1,1,1,1,1
2018-12-09 06:00:00,,,,,,0,0,0,0,0
2018-12-09 07:00:00,,,,,,0,0,0,0,0
2018-12-09 08:00:00,,,,,,0,0,0,0,0
2018-12-09 09:00:00,,,,,,0,0,0,0,0
2018-12-09 10:00:00,,,,,,0,0,0,0,0
2018-12-09 11:00:00,,,,,,0,0,0,0,0
2018-12-09 12:00:00,,,,,,0,0,0,0,0
2018-12-09 13:00:00,,,,,,0,0,0,0,0
2018-12-09 14:00:00,,,,,,0,0,0,0,0
2018-12-09 15:00:00,,,,,,0,0,0,0,0
2018-12-09 16:00:00,,,,,,0,0,0,0,0
2018-12-09 17:00:00,,,,,,0,0,0,0,0
2018-12-09 18:00:00,,,,,,0,0,0,0,0
2018-12-09 19:00:00,,,,,,0,0,0,0,0
2018-12-09 20:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-09 21:00:00,,,,,,0,0,0,0,0
2018-12-09 22:00:00,,,,,,0,0,0,0,0
2018-12-09 23:00:00,,,,,,0,0,0,0,0
2018-12-10 00:00:00,0.240275,0.0400891,0.0410409,0.638484,0.0401104,1,1,1,1,1
2018-12-10 01:00:00,,,,,,0,0,0,0,0
2018-12-10 02:00:00,,,,,,0,0,0,0,0
2018-12-10 03:00:00,,,,,,0,0,0,0,0
2018-12-10 04:00:00,,,,,,0,0,0,0,0
2018-12-10 05:00:00,,,,,,0,0,0,0,0
2018-12-10 06:00:00,,,,,,0,0,0,0,0
2018-12-10 07:00:00,,,,,,0,0,0,0,0
2018-12-10 08:00:00,,,,,,0,0,0,0,0
2018-12-10 09:00:00,,,,,,0,0,0,0,0
2018-12-10 10:00:00,,,,,,0,0,0,0,0
2018-12-10 11:00:00,,,,,,0,0,0,0,0
2018-12-10 12:00:00,,,,,,0,0,0,0,0
2018-12-10 13:00:00,,,,,,0,0,0,0,0
2018-12-10 14:00:00,,,,,,0,0,0,0,0
2018-12-10 15:00:00,0.0510864,0.355652,0.0505503,0.49218,0.0505314,1,1,1,1,1
2018-12-10 16:00:00,,,,,,0,0,0,0,0
2018-12-10 17:00:00,,,,,,0,0,0,0,0
2018-12-10 18:00:00,,,,,,0,0,0,0,0
2018-12-10 19:00:00,,,,,,0,0,0,0,0
2018-12-10 20:00:00,,,,,,0,0,0,0,0
2018-12-10 21:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-10 22:00:00,,,,,,0,0,0,0,0
2018-12-10 23:00:00,,,,,,0,0,0,0,0
2018-12-11 00:00:00,,,,,,0,0,0,0,0
2018-12-11 01:00:00,,,,,,0,0,0,0,0
2018-12-11 02:00:00,,,,,,0,0,0,0,0
2018-12-11 03:00:00,0.349467,0.2345183333333333,0.050040699999999994,0.309494,0.05648,3,3,3,3,3
2018-12-11 04:00:00,,,,,,0,0,0,0,0
2018-12-11 05:00:00,,,,,,0,0,0,0,0
2018-12-11 06:00:00,,,,,,0,0,0,0,0
2018-12-11 07:00:00,,,,,,0,0,0,0,0
2018-12-11 08:00:00,,,,,,0,0,0,0,0
2018-12-11 09:00:00,,,,,,0,0,0,0,0
2018-12-11 10:00:00,,,,,,0,0,0,0,0
2018-12-11 11:00:00,,,,,,0,0,0,0,0
2018-12-11 12:00:00,,,,,,0,0,0,0,0
2018-12-11 13:00:00,,,,,,0,0,0,0,0
2018-12-11 14:00:00,,,,,,0,0,0,0,0
2018-12-11 15:00:00,,,,,,0,0,0,0,0
2018-12-11 16:00:00,,,,,,0,0,0,0,0
2018-12-11 17:00:00,,,,,,0,0,0,0,0
2018-12-11 18:00:00,,,,,,0,0,0,0,0
2018-12-11 19:00:00,,,,,,0,0,0,0,0
2018-12-11 20:00:00,,,,,,0,0,0,0,0
2018-12-11 21:00:00,,,,,,0,0,0,0,0
2018-12-11 22:00:00,,,,,,0,0,0,0,0
2018-12-11 23:00:00,,,,,,0,0,0,0,0
2018-12-12 00:00:00,,,,,,0,0,0,0,0
2018-12-12 01:00:00,,,,,,0,0,0,0,0
2018-12-12 02:00:00,,,,,,0,0,0,0,0
2018-12-12 03:00:00,,,,,,0,0,0,0,0
2018-12-12 04:00:00,,,,,,0,0,0,0,0
2018-12-12 05:00:00,,,,,,0,0,0,0,0
2018-12-12 06:00:00,,,,,,0,0,0,0,0
2018-12-12 07:00:00,,,,,,0,0,0,0,0
2018-12-12 08:00:00,,,,,,0,0,0,0,0
2018-12-12 09:00:00,,,,,,0,0,0,0,0
2018-12-12 10:00:00,0.231937,0.262843,0.061113600000000004,0.1342044,0.309902,2,2,2,2,2
2018-12-12 11:00:00,0.30615,0.359786,0.254035,0.0400141,0.0400153,1,1,1,1,1
2018-12-12 12:00:00,,,,,,0,0,0,0,0
2018-12-12 13:00:00,,,,,,0,0,0,0,0
2018-12-12 14:00:00,,,,,,0,0,0,0,0
2018-12-12 15:00:00,,,,,,0,0,0,0,0
2018-12-12 16:00:00,,,,,,0,0,0,0,0
2018-12-12 17:00:00,,,,,,0,0,0,0,0
2018-12-12 18:00:00,,,,,,0,0,0,0,0
2018-12-12 19:00:00,,,,,,0,0,0,0,0
2018-12-12 20:00:00,,,,,,0,0,0,0,0
2018-12-12 21:00:00,,,,,,0,0,0,0,0
2018-12-12 22:00:00,,,,,,0,0,0,0,0
2018-12-12 23:00:00,,,,,,0,0,0,0,0
2018-12-13 00:00:00,,,,,,0,0,0,0,0
2018-12-13 01:00:00,,,,,,0,0,0,0,0
2018-12-13 02:00:00,,,,,,0,0,0,0,0
2018-12-13 03:00:00,,,,,,0,0,0,0,0
2018-12-13 04:00:00,,,,,,0,0,0,0,0
2018-12-13 05:00:00,,,,,,0,0,0,0,0
2018-12-13 06:00:00,0.2312,0.330804,0.0241354,0.0250165,0.388843,1,1,1,1,1
2018-12-13 07:00:00,,,,,,0,0,0,0,0
2018-12-13 08:00:00,,,,,,0,0,0,0,0
2018-12-13 09:00:00,,,,,,0,0,0,0,0
2018-12-13 10:00:00,,,,,,0,0,0,0,0
2018-12-13 11:00:00,,,,,,0,0,0,0,0
2018-12-13 12:00:00,,,,,,0,0,0,0,0
2018-12-13 13:00:00,,,,,,0,0,0,0,0
2018-12-13 14:00:00,,,,,,0,0,0,0,0
2018-12-13 15:00:00,,,,,,0,0,0,0,0
2018-12-13 16:00:00,,,,,,0,0,0,0,0
2018-12-13 17:00:00,,,,,,0,0,0,0,0
2018-12-13 18:00:00,,,,,,0,0,0,0,0
2018-12-13 19:00:00,,,,,,0,0,0,0,0
2018-12-13 20:00:00,,,,,,0,0,0,0,0
2018-12-13 21:00:00,,,,,,0,0,0,0,0
2018-12-13 22:00:00,,,,,,0,0,0,0,0
2018-12-13 23:00:00,,,,,,0,0,0,0,0
2018-12-14 00:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-14 01:00:00,,,,,,0,0,0,0,0
2018-12-14 02:00:00,,,,,,0,0,0,0,0
2018-12-14 03:00:00,,,,,,0,0,0,0,0
2018-12-14 04:00:00,,,,,,0,0,0,0,0
2018-12-14 05:00:00,,,,,,0,0,0,0,0
2018-12-14 06:00:00,,,,,,0,0,0,0,0
2018-12-14 07:00:00,,,,,,0,0,0,0,0
2018-12-14 08:00:00,,,,,,0,0,0,0,0
2018-12-14 09:00:00,,,,,,0,0,0,0,0
2018-12-14 10:00:00,,,,,,0,0,0,0,0
2018-12-14 11:00:00,,,,,,0,0,0,0,0
2018-12-14 12:00:00,,,,,,0,0,0,0,0
2018-12-14 13:00:00,0.60585,0.0986048,0.0985392,0.0985032,0.0985025,1,1,1,1,1
2018-12-14 14:00:00,,,,,,0,0,0,0,0
2018-12-14 15:00:00,0.0334298,0.4476635,0.0337928,0.451463,0.0336507,2,2,2,2,2
2018-12-14 16:00:00,,,,,,0,0,0,0,0
2018-12-14 17:00:00,0.0947553,0.620977,0.0949043,0.0945074,0.0948564,1,1,1,1,1
2018-12-14 18:00:00,,,,,,0,0,0,0,0
2018-12-14 19:00:00,,,,,,0,0,0,0,0
2018-12-14 20:00:00,,,,,,0,0,0,0,0
2018-12-14 21:00:00,,,,,,0,0,0,0,0
2018-12-14 22:00:00,0.301548,0.291473,0.0522216,0.0515354,0.303222,1,1,1,1,1
2018-12-14 23:00:00,,,,,,0,0,0,0,0
2018-12-15 00:00:00,,,,,,0,0,0,0,0
2018-12-15 01:00:00,,,,,,0,0,0,0,0
2018-12-15 02:00:00,,,,,,0,0,0,0,0
2018-12-15 03:00:00,,,,,,0,0,0,0,0
2018-12-15 04:00:00,,,,,,0,0,0,0,0
2018-12-15 05:00:00,,,,,,0,0,0,0,0
2018-12-15 06:00:00,,,,,,0,0,0,0,0
2018-12-15 07:00:00,,,,,,0,0,0,0,0
2018-12-15 08:00:00,,,,,,0,0,0,0,0
2018-12-15 09:00:00,,,,,,0,0,0,0,0
2018-12-15 10:00:00,,,,,,0,0,0,0,0
2018-12-15 11:00:00,,,,,,0,0,0,0,0
2018-12-15 12:00:00,,,,,,0,0,0,0,0
2018-12-15 13:00:00,,,,,,0,0,0,0,0
2018-12-15 14:00:00,,,,,,0,0,0,0,0
2018-12-15 15:00:00,,,,,,0,0,0,0,0
2018-12-15 16:00:00,,,,,,0,0,0,0,0
2018-12-15 17:00:00,0.231052,0.330726,0.024135,0.0250119,0.389075,1,1,1,1,1
2018-12-15 18:00:00,,,,,,0,0,0,0,0
2018-12-15 19:00:00,,,,,,0,0,0,0,0
2018-12-15 20:00:00,,,,,,0,0,0,0,0
2018-12-15 21:00:00,,,,,,0,0,0,0,0
2018-12-15 22:00:00,,,,,,0,0,0,0,0
2018-12-15 23:00:00,,,,,,0,0,0,0,0
2018-12-16 00:00:00,,,,,,0,0,0,0,0
2018-12-16 01:00:00,,,,,,0,0,0,0,0
2018-12-16 02:00:00,,,,,,0,0,0,0,0
