data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8072491,756,CHE243,243,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Switzerland)","Extinction Rebellion",6,,,0,60,Europe,Switzerland,Neuchatel,Neuchatel,,Neuchatel,46.99,6.9293,1,"24 Heures; Swissinfo",National,"On 11 June 2021, Extinction Rebellion activists protested in Neuchatel to urge the government to implement concrete measures to tackle climate change. Protesters called for authorities to drop charges against 14 members of the NGO. [size=no report]",0,1623791431,CHE
8071251,246,FIN346,346,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Finland)","FFF: Fridays for Future; Students (Finland)",6,,,0,60,Europe,Finland,Uusimaa,Helsinki,,Helsinki,60.1689,24.9445,1,EKOenergy,"New media","On 11 June 2021, a Fridays For Future climate strike gathered by the Parliament in Helsinki. [size=no report]",0,1623780832,FIN
8071258,752,SWE1455,1455,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","Extinction Rebellion; Government of Sweden (2019-)",6,,,0,60,Europe,Sweden,Skane,Kristianstad,,Kristianstad,56.0318,14.151,1,"Extinction Rebellion",Other,"On 11 June 2021, demonstrators, including Extinction Rebellion activists and members of the municipal council, staged a bicycle rally in Kristianstad to demand action on climate change. [size=no report]",0,1623780832,SWE
8072543,826,GBR3082,3082,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (United Kingdom)","Extinction Rebellion",6,,,0,60,Europe,"United Kingdom",England,Cornwall,Cornwall,"St Ives",50.2091,-5.4904,1,"The Argus; Cornwall Live",Subnational-National,"On 11 June 2021, between 500 to over 1000 Extinction Rebellion activists marched through St Ives city center for the first day of the G7 Summit, calling on G7 leaders to act immediately on climate breakdown. Members of Ocean Rebellion, Extinction Rebellion's sea-focused campaign group, dressed up as mermaids, staged a dramatic action on the beach to highlight climate change and seas problems. [size=between 500 to over 1000]",0,1623791431,GBR
8071269,752,SWE1458,1458,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","FFF: Fridays for Future; Students (Sweden)",6,,,0,60,Europe,Sweden,Jonkopings,Jonkoping,,Jonkoping,57.7843,14.1663,1,FridaysForFuture,Other,"On 11 June 2021, Fridays For Future activists gathered in Jonkoping to draw attention to environmental problems and to demand action against climate change. [size=no report]",0,1623780832,SWE
8071270,752,SWE1461,1461,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","FFF: Fridays for Future; Students (Sweden)",6,,,0,60,Europe,Sweden,Stockholms,Stockholm,,Stockholm,59.3277,18.0684,1,FridaysForFuture,Other,"On 11 June 2021, Fridays For Future activists, led by Greta Thunberg, gathered in front of the Parliament of Sweden in Stockholm to draw attention to environmental problems and to demand action against climate change. [size=no report]",0,1623780832,SWE
8071273,752,SWE1460,1460,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","FFF: Fridays for Future; Students (Sweden)",6,,,0,60,Europe,Sweden,Vastmanlands,Vasteras,,Vasteras,59.6103,16.547,1,FridaysForFuture,Other,"On 11 June 2021, Fridays For Future activists gathered in Vasteras to draw attention to environmental problems and to demand action against climate change. [size=no report]",0,1623780832,SWE
8071274,752,SWE1456,1456,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","FFF: Fridays for Future; Students (Sweden)",6,,,0,60,Europe,Sweden,Skane,Malmo,,Malmo,55.6053,12.9994,1,FridaysForFuture,Other,"On 11 June 2021, Fridays For Future activists gathered in front of the City Hall in Malmo to draw attention to environmental problems and to demand action against climate change. [size=no report]",0,1623780832,SWE
8071275,752,SWE1459,1459,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","FFF: Fridays for Future; Students (Sweden)",6,,,0,60,Europe,Sweden,Skane,Lund,,Lund,55.7063,13.186,1,FridaysForFuture,Other,"On 11 June 2021, Fridays For Future activists gathered in Lund to draw attention to environmental problems and to demand action against climate change. [size=no report]",0,1623780832,SWE
8071276,752,SWE1457,1457,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","FFF: Fridays for Future; Students (Sweden)",6,,,0,60,Europe,Sweden,Vasterbottens,Umea,,Umea,63.8296,20.2669,1,FridaysForFuture,Other,"On 11 June 2021, Fridays For Future activists gathered in front of the City Hall in Umea to draw attention to environmental problems and to demand action against climate change. [size=no report]",0,1623780832,SWE
