data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8072491,756,CHE243,243,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Switzerland)","Extinction Rebellion",6,,,0,60,Europe,Switzerland,Neuchatel,Neuchatel,,Neuchatel,46.99,6.9293,1,"24 Heures; Swissinfo",National,"On 11 June 2021, Extinction Rebellion activists protested in Neuchatel to urge the government to implement concrete measures to tackle climate change. Protesters called for authorities to drop charges against 14 members of the NGO. [size=no report]",0,1623791431,CHE
8071258,752,SWE1455,1455,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","Extinction Rebellion; Government of Sweden (2019-)",6,,,0,60,Europe,Sweden,Skane,Kristianstad,,Kristianstad,56.0318,14.151,1,"Extinction Rebellion",Other,"On 11 June 2021, demonstrators, including Extinction Rebellion activists and members of the municipal council, staged a bicycle rally in Kristianstad to demand action on climate change. [size=no report]",0,1623780832,SWE
8072543,826,GBR3082,3082,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (United Kingdom)","Extinction Rebellion",6,,,0,60,Europe,"United Kingdom",England,Cornwall,Cornwall,"St Ives",50.2091,-5.4904,1,"The Argus; Cornwall Live",Subnational-National,"On 11 June 2021, between 500 to over 1000 Extinction Rebellion activists marched through St Ives city center for the first day of the G7 Summit, calling on G7 leaders to act immediately on climate breakdown. Members of Ocean Rebellion, Extinction Rebellion's sea-focused campaign group, dressed up as mermaids, staged a dramatic action on the beach to highlight climate change and seas problems. [size=between 500 to over 1000]",0,1623791431,GBR
8072646,56,BEL1302,1302,"11 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Belgium)","Extinction Rebellion",6,,,0,60,Europe,Belgium,Brussels,Bruxelles-Capitale,Bruxelles-Capitale,Brussels,50.8468,4.3525,1,BRUZZ,National,"On 11 June 2021, an unknown number of Extinction Rebellion activists staged several protest actions in the European quarter in Brussels, notably at the headquarters of BlackRock, Goldman Sachs and BusinessEurope, to denounce the hidden power of big lobby firms and to demand more action from the Western powers against climate change, in the context of the G7 summit held in Cornwall. [size=no report]",0,1623791431,BEL
8072889,380,ITA9560,9560,"10 June 2021",2021,1,Protests,"Protest with intervention","Protesters (Italy)","Extinction Rebellion",6,"Police Forces of Italy (2018-)","Military Forces of Italy (2018-) Carabinieri",1,16,Europe,Italy,Emilia-Romagna,Bologna,,Bologna,44.4886,11.3316,1,"La Repubblica",National,"On 10 June 2021, Extinction Rebellion activists staged a series of sit-ins on the streets of Bologna (Bologna, Emilia-Romagna) to protest against the 2021 G7 Summit in Cornwall (United Kingdom) and denounce the participating states' alleged failure to meet their global climate commitments. One of the sit-ins prompted the joint intervention of local police and Carabinieri officers, who lifted a protester back to the sidewalk and charged him with obstructing traffic. [size=no report]",0,1623791432,ITA
8072989,826,GBR3083,3083,"09 June 2021",2021,1,Protests,"Peaceful protest","Protesters (United Kingdom)","Extinction Rebellion; Friends of the Earth",6,,,0,60,Europe,"United Kingdom",Wales,Conwy,Conwy,Penmaenmawr,53.2679,-3.9242,1,"North Wales Pioneer",Subnational,"On 9 June 2021, activists of Extinction Rebellion and Friends of the Earth protested on the promenade in Penmaenmawr as part of the Make the Wave campaign in anticipation of the G7 Summit being held later in the week in Cornwall. Protesters carried banners, danced and delivered information on coastal flooding to passing beachgoers. [size=no report]",0,1623791432,GBR
8072994,380,ITA9484,9484,"09 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Italy)","Extinction Rebellion",6,,,0,60,Europe,Italy,Veneto,Treviso,,Treviso,45.6608,12.229,1,"Oggi Treviso",National,"On 9 June 2021, Extinction Rebellion Treviso activists gathered in Indipendenza square in Treviso (Treviso, Veneto) to protest against a Veneto regional government's decree allowing water excavations up to 60 meters at the Morganella quarry and denounce the pollution of Treviso water supplies allegedly entailed. [size=no report]",0,1623791432,ITA
8072699,826,GBR3081,3081,"09 June 2021",2021,1,Protests,"Peaceful protest","Protesters (United Kingdom)","Extinction Rebellion",6,,,0,60,Europe,"United Kingdom",England,Norfolk,"North Norfolk",Cromer,52.9311,1.3013,1,"Eastern Daily Press",Subnational,"On 9 June 2021, around 38 Extinction Rebellion members, including red-robed activists called Red Rebels, marched through Cromer seaside to highlight the danger that rising sea levels pose to coastal communities. It was part of nationwide action ahead of the G7 Summit in Cornwall. [size=around 38]",0,1623791431,GBR
8073009,826,GBR3079,3079,"08 June 2021",2021,1,Protests,"Peaceful protest","Protesters (United Kingdom)","Extinction Rebellion",6,,,0,60,Europe,"United Kingdom",England,Oxfordshire,"South Oxfordshire",Didcot,51.605,-1.2454,1,"Oxford Mail",Subnational,"On 8 June 2021, climate activists belonging to Extinction Rebellion gathered outside Didcot B Power Station in Didcot to protest against an alleged campaign of 'greenwashing' by RWE, the energy company that runs the facility. Protesters accused RWE of the continued and extensive use of fossil fuels, including 'brown coal' whilst simultaneously attempting to rebrand the company as a champion of renewable energy. [size=no report]",0,1623791432,GBR
8071256,752,SWE1451,1451,"08 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Sweden)","Extinction Rebellion",6,,,0,60,Europe,Sweden,Uppsala,Uppsala,,Uppsala,59.8583,17.647,1,"Extinction Rebellion",Other,"On 8 June 2021, Extinction Rebellion activists organized a protest in Uppsala to oppose the fossil investments of large Swedish banks. [size=no report]",0,1623780832,SWE
