emoji	freq
😂	2114606
🤣	1305881
👏	1114205
🇺🇸	1031658
👇	996047
🏻	960270
🔥	959295
🇬🇧	740737
🏽	493429
🚨	471876
😭	458007
🇭🇰	427539
🤔	420441
🏼	396595
💥	394153
😡	383327
❤	355908
♀	307201
♀️	305849
🇧🇬	295811
🙄	291754
👇🏻	291727
❤️	287523
👍	286854
‼	286392
♂	271825
♂️	271428
🙏	266921
‼️	265116
👉	248917
🤬	246282
✅	226903
🇪🇺	222234
✊	221850
🤦	211728
👏🏻	206381
✔	188226
🤷	165040
✔️	149080
🌍	148749
🆘	145915
💔	142271
🏾	138977
⬇	138042
⚠	137548
❌	136230
💪	135613
💚	135357
⬇️	133805
🇨🇱	132678
💩	132393
⚠️	129603
😳	125794
🌎	125565
👏🏼	124473
👋	119267
😉	113009
😱	106051
🙋	105241
😆	105100
❗	101682
🕋	100656
🤡	99583
✨	98300
👀	93327
🇨🇳	91765
🙌	89323
🇧🇷	88465
😍	86011
🤮	85570
😁	79872
👈	78621
🖕	77930
🔴	76980
🗣	75964
💯	73515
🔶	72915
😊	72642
😎	72319
😢	70869
👋🏽	70096
👇🏼	68340
⭐	68213
👊	65800
🇮🇱	64733
🏴	63237
🙏🏻	62244
🏿	61800
📣	60206
💜	60080
🇫🇷	60035
🤪	59555
✌	58060
🐍	57386
✊🏽	56157
🌟	55372
👏🏽	55219
🎉	54607
♥	54583
😅	53932
➡	53897
🥴	53577
🌏	52700
💙	52698
💰	51871
♥️	51845
🎶	51169
💀	50860
👉🏻	50406
🍿	49318
👇🏽	48953
🤦‍♀	48674
🤦‍♀️	48505
🙋🏻	48384
➡️	48090
📢	46270
👌	45892
🤦‍♂	45884
🤦‍♂️	45742
👎	45213
🇱🇨	45132
🙋🏻‍♂	44960
🙋🏻‍♂️	44960
🥺	44111
😀	42761
😠	42190
😴	41330
🧐	41191
